area,price/sqm,condition,status,district,type
480.0,9.354166666666666,newly renovated,new building,Chugureti,office
195.0,5.128205128205129,newly renovated,new building,Chugureti,commercial
170.0,22.352941176470587,old renovated,new building,Chugureti,commercial
150.0,15.333333333333334,newly renovated,new building,Chugureti,commercial
153.0,15.032679738562091,newly renovated,new building,Chugureti,office
245.0,12.653061224489797,newly renovated,new building,Chugureti,office
120.0,11.666666666666666,newly renovated,new building,Chugureti,commercial
106.0,5.660377358490566,renovated,old building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
110.0,12.727272727272727,newly renovated,new building,Chugureti,office
160.0,7.5,old renovated,old building,Chugureti,office
120.0,8.333333333333334,renovated,old building,Chugureti,office
445.0,11.235955056179776,renovated,old building,Chugureti,office
102.0,9.803921568627452,newly renovated,old building,Chugureti,office
445.0,11.235955056179776,newly renovated,new building,Chugureti,commercial
100.0,15.0,newly renovated,new building,Chugureti,office
100.0,11.0,renovated,old building,Chugureti,office
450.0,11.11111111111111,renovated,new building,Chugureti,office
120.0,13.0,renovated,old building,Chugureti,office
100.0,11.0,newly renovated,new building,Chugureti,commercial
170.0,18.0,newly renovated,new building,Chugureti,office
700.0,5.714285714285714,newly renovated,new building,Chugureti,commercial
300.0,10.0,newly renovated,new building,Chugureti,office
100.0,15.0,newly renovated,new building,Chugureti,office
700.0,5.714285714285714,newly renovated,old building,Chugureti,commercial
450.0,11.11111111111111,newly renovated,old building,Chugureti,office
350.0,14.285714285714286,newly renovated,new building,Chugureti,office
110.0,12.727272727272727,renovated,new building,Chugureti,warehouse
352.0,9.943181818181818,newly renovated,new building,Chugureti,commercial
110.0,10.0,newly renovated,new building,Chugureti,commercial
400.0,11.25,newly renovated,new building,Chugureti,commercial
400.0,11.25,newly renovated,new building,Chugureti,office
240.0,6.208333333333333,newly renovated,new building,Chugureti,commercial
110.0,10.0,newly renovated,old building,Chugureti,commercial
100.0,10.0,renovated,old building,Chugureti,commercial
100.0,15.0,black frame,old building,Chugureti,commercial
100.0,25.0,renovated,old building,Chugureti,commercial
100.0,10.0,black frame,old building,Chugureti,commercial
235.0,6.808510638297872,renovated,new building,Chugureti,commercial
100.0,10.0,newly renovated,old building,Chugureti,office
230.0,14.347826086956522,newly renovated,old building,Chugureti,commercial
450.0,6.177777777777778,newly renovated,new building,Chugureti,commercial
100.0,9.0,newly renovated,old building,Chugureti,office
700.0,4.285714285714286,newly renovated,new building,Chugureti,office
450.0,5.888888888888889,newly renovated,new building,Chugureti,commercial
445.0,11.235955056179776,newly renovated,new building,Chugureti,commercial
230.0,14.347826086956522,renovated,old building,Chugureti,commercial
450.0,6.177777777777778,newly renovated,new building,Chugureti,commercial
230.0,14.347826086956522,newly renovated,old building,Chugureti,commercial
155.0,9.67741935483871,newly renovated,new building,Chugureti,office
120.0,11.666666666666666,newly renovated,old building,Chugureti,commercial
160.0,7.4375,old renovated,old building,Chugureti,office
110.0,10.0,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,newly renovated,new building,Chugureti,office
445.0,11.235955056179776,newly renovated,new building,Chugureti,commercial
320.0,18.75,renovated,old building,Chugureti,commercial
120.0,8.333333333333334,under renovation,old building,Chugureti,commercial
450.0,11.11111111111111,newly renovated,new building,Chugureti,office
240.0,4.166666666666667,newly renovated,old building,Chugureti,commercial
245.0,13.061224489795919,newly renovated,new building,Chugureti,office
100.0,9.9,newly renovated,new building,Chugureti,office
150.0,17.866666666666667,newly renovated,old building,Chugureti,commercial
206.0,7.281553398058253,old renovated,old building,Chugureti,commercial
175.0,6.857142857142857,newly renovated,old building,Chugureti,commercial
230.0,14.347826086956522,newly renovated,old building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
110.0,9.818181818181818,newly renovated,new building,Chugureti,commercial
120.0,8.333333333333334,renovated,new building,Chugureti,office
230.0,15.217391304347826,newly renovated,old building,Chugureti,commercial
627.0,9.569377990430622,renovated,new building,Chugureti,commercial
225.0,13.333333333333334,renovated,new building,Chugureti,commercial
600.0,5.0,renovated,old building,Chugureti,commercial
160.0,18.0,newly renovated,new building,Chugureti,office
100.0,15.0,newly renovated,old building,Chugureti,commercial
155.0,11.612903225806452,newly renovated,old building,Chugureti,office
950.0,18.94736842105263,renovated,new building,Chugureti,office
250.0,12.0,renovated,old building,Chugureti,commercial
450.0,11.11111111111111,newly renovated,new building,Chugureti,office
240.0,8.333333333333334,newly renovated,new building,Chugureti,office
185.0,8.108108108108109,newly renovated,new building,Chugureti,office
112.0,17.857142857142858,old renovated,new building,Chugureti,commercial
235.0,6.808510638297872,newly renovated,new building,Chugureti,commercial
365.0,13.698630136986301,newly renovated,new building,Chugureti,commercial
450.0,11.11111111111111,newly renovated,new building,Chugureti,office
445.0,11.235955056179776,newly renovated,old building,Chugureti,office
1000.0,17.0,newly renovated,new building,Chugureti,office
230.0,13.043478260869565,newly renovated,new building,Chugureti,commercial
250.0,8.0,newly renovated,new building,Chugureti,commercial
225.0,15.555555555555555,newly renovated,new building,Chugureti,commercial
245.0,12.244897959183673,renovated,old building,Chugureti,office
700.0,5.714285714285714,newly renovated,old building,Chugureti,commercial
110.0,13.636363636363637,renovated,new building,Chugureti,office
230.0,14.347826086956522,renovated,old building,Chugureti,commercial
100.0,15.0,renovated,new building,Chugureti,office
116.0,21.982758620689655,renovated,new building,Chugureti,office
450.0,11.066666666666666,newly renovated,old building,Chugureti,office
110.0,11.818181818181818,newly renovated,old building,Chugureti,commercial
140.0,21.428571428571427,newly renovated,old building,Chugureti,commercial
244.0,12.704918032786885,newly renovated,old building,Chugureti,commercial
120.0,9.166666666666666,newly renovated,old building,Chugureti,office
100.0,12.0,old renovated,new building,Chugureti,commercial
110.0,10.909090909090908,old renovated,old building,Chugureti,commercial
145.0,8.275862068965518,newly renovated,new building,Chugureti,office
152.0,8.223684210526315,newly renovated,old building,Chugureti,commercial
150.0,8.666666666666666,newly renovated,new building,Chugureti,office
150.0,8.666666666666666,newly renovated,new building,Chugureti,office
120.0,10.833333333333334,newly renovated,new building,Chugureti,office
330.0,4.545454545454546,newly renovated,old building,Chugureti,commercial
141.0,10.638297872340425,newly renovated,new building,Chugureti,office
260.0,5.769230769230769,old renovated,old building,Chugureti,commercial
170.0,8.823529411764707,newly renovated,old building,Chugureti,office
116.0,12.931034482758621,newly renovated,new building,Chugureti,commercial
140.0,12.857142857142858,newly renovated,new building,Chugureti,office
200.0,9.0,newly renovated,new building,Chugureti,commercial
240.0,7.5,newly renovated,new building,Chugureti,office
260.0,7.6923076923076925,newly renovated,old building,Chugureti,office
105.0,21.904761904761905,newly renovated,new building,Chugureti,commercial
300.0,8.333333333333334,newly renovated,old building,Chugureti,commercial
105.0,23.80952380952381,newly renovated,new building,Chugureti,commercial
105.0,23.80952380952381,newly renovated,old building,Chugureti,commercial
100.0,25.0,newly renovated,old building,Chugureti,commercial
116.0,21.982758620689655,newly renovated,new building,Chugureti,office
150.0,18.666666666666668,newly renovated,new building,Chugureti,commercial
260.0,11.538461538461538,newly renovated,old building,Chugureti,office
100.0,30.0,newly renovated,new building,Chugureti,commercial
330.0,10.606060606060606,newly renovated,new building,Chugureti,commercial
310.0,11.290322580645162,newly renovated,new building,Chugureti,commercial
520.0,10.576923076923077,newly renovated,new building,Chugureti,office
651.0,9.216589861751151,renovated,old building,Chugureti,commercial
651.0,9.216589861751151,renovated,new building,Chugureti,commercial
651.0,9.216589861751151,renovated,old building,Chugureti,commercial
500.0,12.0,newly renovated,new building,Chugureti,commercial
500.0,12.0,newly renovated,new building,Chugureti,commercial
651.0,9.216589861751151,renovated,old building,Chugureti,commercial
680.0,10.294117647058824,newly renovated,new building,Chugureti,commercial
700.0,13.285714285714286,newly renovated,new building,Chugureti,commercial
1500.0,14.666666666666666,newly renovated,old building,Chugureti,office
2400.0,11.875,old renovated,old building,Chugureti,office
135.0,7.407407407407407,newly renovated,old building,Chugureti,office
150.0,6.666666666666667,old renovated,old building,Chugureti,office
115.0,8.695652173913043,newly renovated,old building,Chugureti,commercial
120.0,8.333333333333334,newly renovated,old building,Chugureti,office
120.0,9.583333333333334,renovated,new building,Chugureti,commercial
145.0,8.275862068965518,newly renovated,new building,Chugureti,office
155.0,7.741935483870968,renovated,old building,Chugureti,office
110.0,11.818181818181818,newly renovated,new building,Chugureti,commercial
100.0,13.0,newly renovated,old building,Chugureti,commercial
118.0,11.016949152542374,newly renovated,old building,Chugureti,commercial
120.0,10.833333333333334,newly renovated,new building,Chugureti,office
150.0,9.333333333333334,newly renovated,new building,Chugureti,commercial
185.0,8.108108108108109,newly renovated,new building,Chugureti,office
240.0,6.25,newly renovated,new building,Chugureti,office
270.0,4.444444444444445,old renovated,new building,Chugureti,office
120.0,12.5,newly renovated,new building,Chugureti,commercial
248.0,15.0,newly renovated,new building,Chugureti,office
245.0,13.061224489795919,newly renovated,new building,Chugureti,office
245.0,13.061224489795919,renovated,new building,Chugureti,commercial
450.0,11.11111111111111,old renovated,new building,Chugureti,office
110.0,11.818181818181818,old renovated,old building,Chugureti,commercial
100.0,9.6,renovated,new building,Chugureti,commercial
105.0,9.523809523809524,newly renovated,new building,Chugureti,office
100.0,15.0,renovated,new building,Chugureti,office
445.0,11.213483146067416,newly renovated,old building,Chugureti,office
110.0,13.636363636363637,under renovation,old building,Chugureti,office
170.0,24.11764705882353,old renovated,new building,Chugureti,commercial
100.0,10.0,newly renovated,new building,Chugureti,commercial
110.0,10.909090909090908,newly renovated,new building,Chugureti,commercial
700.0,13.257142857142858,newly renovated,old building,Chugureti,commercial
1500.0,16.666666666666668,old renovated,old building,Chugureti,commercial
950.0,17.894736842105264,under renovation,new building,Chugureti,commercial
315.0,11.777777777777779,newly renovated,new building,Chugureti,commercial
500.0,13.0,renovated,old building,Chugureti,commercial
500.0,12.0,renovated,new building,Chugureti,commercial
651.0,9.216589861751151,renovated,old building,Chugureti,commercial
299.0,19.39799331103679,newly renovated,new building,Chugureti,office
520.0,10.576923076923077,newly renovated,new building,Chugureti,commercial
520.0,10.576923076923077,newly renovated,new building,Chugureti,commercial
180.0,27.77777777777778,needs renovation,new building,Chugureti,commercial
360.0,13.88888888888889,old renovated,old building,Chugureti,commercial
500.0,10.0,newly renovated,new building,Chugureti,commercial
560.0,8.928571428571429,black frame,new building,Chugureti,commercial
360.0,13.88888888888889,newly renovated,old building,Chugureti,commercial
540.0,8.333333333333334,newly renovated,new building,Chugureti,office
155.0,25.806451612903224,newly renovated,new building,Chugureti,commercial
281.0,14.234875444839858,white frame,new building,Chugureti,commercial
245.0,16.3265306122449,newly renovated,old building,Chugureti,commercial
300.0,13.333333333333334,newly renovated,new building,Chugureti,office
320.0,12.0,newly renovated,new building,Chugureti,office
500.0,7.52,renovated,new building,Chugureti,commercial
230.0,15.217391304347826,newly renovated,new building,Chugureti,commercial
230.0,15.217391304347826,newly renovated,new building,Chugureti,commercial
310.0,11.290322580645162,renovated,old building,Chugureti,commercial
650.0,5.384615384615385,newly renovated,new building,Chugureti,office
330.0,10.606060606060606,newly renovated,new building,Chugureti,commercial
310.0,11.290322580645162,newly renovated,new building,Chugureti,commercial
400.0,8.75,newly renovated,new building,Chugureti,office
290.0,12.068965517241379,newly renovated,new building,Chugureti,office
290.0,12.068965517241379,newly renovated,new building,Chugureti,commercial
430.0,8.13953488372093,renovated,old building,Chugureti,commercial
600.0,5.666666666666667,newly renovated,new building,Chugureti,office
230.0,14.347826086956522,newly renovated,new building,Chugureti,office
230.0,13.91304347826087,newly renovated,old building,Chugureti,office
244.0,13.114754098360656,newly renovated,new building,Chugureti,commercial
